Symbol,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6,RI_1046V7,RI_1087V7,RI_1117V6,RI_2028V9,RI_2033V6
CCR5,1.036453305,0.261505829,0.982140956,1.568381639,2.395208447,0.464684941,1.105546475,1.388565248,0.5736522,1.561914857
CD209,1.011499114,0.436338751,1.518512081,2.113479744,0.705983203,0.928002615,2.186348191,3.344666607,1.551787784,1.057089481
CD247,1.538998723,1.352793488,0.82860731,0.497859373,1.164326518,3.711379401,0.971280087,1.518276007,1.355097237,1.333512054
CD4,1.603322795,0.515834906,0.880122342,0.856474116,1.604024573,0.630360333,0.652480034,0.894141638,0.569782101,1.678859455
CD44,1.176459765,1.317568004,1.149978025,0.585753368,0.957735412,1.792810846,1.040081806,1.55574498,1.944616855,1.15420598
CD69,1.550657367,2.445082843,0.634881905,0.616640685,0.673698298,2.139138362,1.076556093,4.474125605,1.671165005,1.042897618
CD74,1.468431736,0.54341111,2.537393186,0.498921797,0.989914026,1.698783803,0.756376416,1.809310084,2.451308297,1.493415775
CDK7,0.970308251,1.33209148,1.034759123,1.005350362,0.743702982,2.338238074,1.247102937,1.766641576,2.880844624,0.960955178
CDK9,1.197074878,1.279285787,2.137695387,0.526781465,0.579875557,2.275613539,0.859463669,1.427781086,2.032958091,1.332738321
CDKN1A,0.91550579,1.498957921,1.295949272,0.723441098,0.777245622,2.915135621,2.805992592,9.329746754,2.288676007,1.45559781
CEBPB,1.003126769,1.990109936,3.877834509,0.256467919,0.503668502,2.687193971,1.991744502,5.548533362,1.890007191,1.501020737
COPS6,1.161615848,1.031699547,0.840670054,0.93114212,1.065964354,1.578080306,1.056887973,1.362074186,1.365034249,1.087362038
CR2,3.386568776,0.277366903,0.730228281,1.507249349,0.967256616,1.071056096,0.326394809,1.124631382,0.534636984,1.099405233
CREBBP,1.545013943,0.558622505,0.353574874,1.874567492,1.748101686,0.464365713,0.83530306,0.605320399,0.374615742,0.822064345
CX3CL1,0.612273794,0.935090776,1.17593821,2.836442096,0.523651234,1.561369801,1.134438003,1.967763835,1.879550065,1.102015022
CXCL12,0.597812563,0.34883066,1.133455753,8.280012524,0.510957464,2.623427122,1.141127606,1.979367429,1.890633476,1.108513432
CXCR4,1.664864207,2.015498278,0.987320629,0.554876691,0.543981411,2.517317796,0.78272373,1.823828387,1.947271862,0.791878074
ELA2,0.506912048,1.770308578,0.528427359,1.322981141,1.59396751,0.991952782,4.339279745,1.46861346,1.51683547,3.894104035
EP300,1.225619796,1.408689263,1.316538234,0.547205389,0.803979891,2.472706884,1.095740699,1.829543269,3.481939667,1.256064675
FCAR,0.322437466,4.195866823,0.619276115,3.540933602,0.337078221,1.198946681,1.041719421,1.511009063,1.443271358,2.039541816
